fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
7,35,25,4471,18.250950570342205,-361.0824707914388,0.9679885037715601,800.9532238732054
7,35,30,4451,18.10829027184902,-432.61910717375247,0.9614833448258444,860.40598063771
7,40,10,4125,18.327272727272728,-745.6239951781745,0.9295015198934322,926.1543839380456
7,40,15,4153,18.396339995184203,-693.0230225606091,0.9346718832795867,915.60108955019
7,40,20,4133,18.364384224534238,-805.3146214043122,0.9240638408631868,1062.0717194232334
7,40,25,4110,18.223844282238442,-743.1870437147668,0.9296036292467762,1019.2071933638049
7,40,30,4106,18.168533852898197,-772.010977906491,0.9270182717463681,1041.7328401017558
7,45,10,3871,18.367346938775512,-749.7591173520452,0.9244526578956682,820.1798591698664
7,45,15,3884,18.25437693099897,-739.2349184829559,0.9258406524509398,829.5980472541285
7,45,20,3859,18.13941435605079,-821.1032000960762,0.9175018696370995,954.3868527318214
7,45,25,3828,18.312434691745036,-705.8122419740264,0.9284007492341996,904.0878204269918
7,45,30,3830,18.302872062663184,-643.8860494320902,0.9346548100041956,841.0654784148853
8,20,10,6335,19.337016574585636,-247.49304249338195,0.9843994202436452,1023.3917437526309
8,20,15,6475,19.413127413127413,-198.0107213121027,0.9878128257197586,1104.7771691551263
8,25,10,5319,19.43974431284076,279.7625742825215,1.021034267547948,597.1571866975617
8,25,15,5437,19.293728158911165,231.92942364196256,1.0171167599096447,666.0009658852262
8,25,20,5428,19.36256448047163,345.9152186069737,1.0255865698130544,608.725906645625
8,30,10,4671,19.289231427959752,437.3798814055881,1.0373450510220306,405.7911520750047
8,30,15,4777,19.300816411974044,407.5328387262898,1.0337885512970577,380.26811134649415
8,30,20,4753,19.25099936881969,326.00949212820757,1.0270854402751781,383.2162541211301
8,30,25,4731,19.403931515535827,443.94753874111024,1.0372327596407094,383.2162541211301
8,35,10,4196,17.993326978074357,-529.5538537059634,0.9504475386896992,856.3633908875872
8,35,15,4301,17.99581492676122,-502.3234921361811,0.9539639528056165,848.9843283777079
8,35,20,4289,18.069480065283283,-511.3398171780738,0.953007198551032,835.3509456924398
8,35,25,4266,17.979371776840132,-571.5379445622218,0.9473303056088181,859.522103627409
8,35,30,4245,17.85630153121319,-561.3052950154502,0.9482125539513142,878.6540688984617
8,40,10,3897,18.373107518604055,-698.9377907952114,0.9311996530767043,874.6301614049714
8,40,15,3969,18.493323255228017,-539.5470360757643,0.9475549696886822,751.6200337850553
8,40,20,3955,18.48293299620733,-654.8627307528029,0.936492779177506,877.6550817150819
8,40,25,3934,18.454499237417387,-698.5418452982549,0.9318172201800173,917.6145012756078
8,40,30,3936,18.34349593495935,-733.978570882143,0.9286813449591483,918.259953212493
8,45,10,3612,17.940199335548172,-812.2319405394624,0.9114368139847598,907.388541244706
8,45,15,3699,18.058934847256015,-546.7253136100913,0.9413748103991898,907.1042089877704
8,45,20,3681,18.20157565878837,-495.62840915784466,0.9466603139083698,862.563458986838
8,45,25,3659,18.065045094288056,-518.4807800420037,0.9441155322550919,884.61857754027
